region_nacimiento,AMBA,Cuyo,NEA,NOA,Pampeana,Patagonia
AMBA,91.6,0.7,0.0,0.1,7.4,0.1
Cuyo,45.3,45.3,1.3,0.0,6.7,1.3
NEA,74.1,2.5,8.6,1.2,13.6,0.0
NOA,52.6,0.0,0.0,28.9,18.4,0.0
Pampeana,49.2,0.5,0.0,0.4,49.6,0.3
Patagonia,61.5,0.0,0.0,0.0,10.8,27.7
