baseline,unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,RR,RR_ic_lo,RR_ic_hi,RR_referencia,provincia
población total censo 2001,02,962,2776138.0,17.45599709671566,7.6563424072660595,421.94103006443254,2.27993944995844,27.359727542273028,34.65245603784826,32.49702059547589,36.91328086938714,1.0,0.9145101928979258,1.093481524608459,02,Ciudad Autónoma de Buenos Aires
población total censo 2001,82,950,3000701.0,17.2382507711849,8.275667246306082,456.0720219439281,2.083004337671908,24.149304687988927,31.659268950821826,29.677815686203605,33.73823116145793,0.9136226568253285,0.8352818446702974,0.9993110282362805,02,Santa Fe
población total censo 2001,14,577,3066801.0,10.469969152603882,8.457965184348168,466.11846130942763,1.237882744182846,5.367855434129557,18.814393239078765,17.310358276185987,20.414125823155057,0.5429454471720337,0.48970635486392033,0.6019724997988966,02,Córdoba
población total censo 2001,42,49,299294.0,0.8891308292505897,0.8254263096576208,45.48924392523148,1.077177718771035,0.5226923279484362,16.37186178139221,12.111993474252454,21.644469515900184,0.47245891499033893,0.35457278833246436,0.629539078290884,02,La Pampa
población total censo 2001,30,181,1158147.0,3.284340410088913,3.1940667178461464,176.02501682050112,1.0282629325612964,0.38111270890376364,15.628413318861941,13.434471186057584,18.07848271235144,0.45100449162368766,0.38478299836180846,0.5286227622600954,02,Entre Ríos
población total censo 2001,74,48,367933.0,0.8709853021230267,1.014726584533126,55.92158207362057,0.8583448146514912,-1.064723667298166,13.045853457015271,9.618982484170553,17.296908997596645,0.37647702208369505,0.28174116138172434,0.5030679488290094,02,San Luis
población total censo 2001,06,1799,13827203.0,32.643803302485935,38.13419963372731,2101.5757418147123,0.8560243460207445,-8.391435589508339,13.010585004067707,12.416249628203568,13.626018883441613,0.3754592456551197,0.34718750704913753,0.4060331731002062,02,Buenos Aires
población total censo 2001,50,204,1579651.0,3.7016875340228634,4.356537369532869,240.08877443495638,0.8496857067978688,-2.3815437334045453,12.914244981961204,11.20278855194451,14.813223630376926,0.37267906689949915,0.3204229664392619,0.4334573406160908,02,Mendoza
población total censo 2001,26,50,413237.0,0.9072763563781527,1.1396709988305354,62.8072687455508,0.7960862014644117,-1.6253262258627208,12.099594179611216,8.98055201675113,15.95180650917919,0.34916988759456885,0.26276650433268656,0.4639845961814159,02,Chubut
población total censo 2001,62,54,552822.0,0.979858464888405,1.5246340499894593,84.0225824949191,0.6426843640906349,-3.3005493616118247,9.768062776083442,7.338069391692941,12.745203047945036,0.2818865931296334,0.21430578466272296,0.37077884533675404,02,Río Negro
población total censo 2001,94,9,101079.0,0.1633097441480675,0.27876691799328635,15.362844850610012,0.5858289976574643,-1.6256299476942633,8.903926631644556,4.07144223565561,16.902426271944883,0.25694936664574275,0.13328754114139843,0.49534244877101974,02,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
población total censo 2001,90,116,1338523.0,2.1048811467973145,3.6915277295296516,203.4400931743791,0.5701924246592355,-6.246835818294905,8.666268715591738,7.161105524627778,10.394363823281108,0.25009103845702096,0.20627030271596347,0.30322119419506083,02,Tucumán
población total censo 2001,54,80,965522.0,1.4516421702050444,2.6628240504428597,146.748233419906,0.5451513666340887,-5.584881518836403,8.285673449180859,6.570023737521295,10.312237832741095,0.2391078265890026,0.1903480901470818,0.30035790058066436,02,Misiones
población total censo 2001,22,80,983754.0,1.4516421702050444,2.713106289571201,149.5192876182689,0.5350480280794574,-5.76407383218149,8.132114329395357,6.4482609057742435,10.121120215769233,0.23467642006423042,0.1868203521357887,0.29479134101050075,02,Chaco
población total censo 2001,18,74,930991.0,1.342769007439666,2.567590614761599,141.49991877951172,0.5229684980618853,-5.748750149037768,7.948519373441848,6.241297310429529,9.97863819326896,0.22937823987887845,0.18107845158352479,0.29056122619683017,02,Corrientes
población total censo 2001,86,63,804343.0,1.1431682090364725,2.2183066623084313,122.25088015981765,0.5153337130795342,-5.419260551329108,7.832479427308996,6.018692248889746,10.021143627394096,0.2260295610433549,0.17517336395784527,0.29165029038173945,02,Santiago del Estero
población total censo 2001,58,35,474155.0,0.6350934494647069,1.3076774404288398,72.06610374203336,0.48566521821806025,-4.395109817062737,7.3815524459301285,5.141521739203376,10.26595256173257,0.2130167177145486,0.15203388836650197,0.2984605768714755,02,Neuquén
población total censo 2001,34,35,486559.0,0.6350934494647069,1.3418865724027287,73.95136900511439,0.47328400367516443,-4.560192898051331,7.1933722323500335,5.010447325508267,10.004239438399674,0.20758621624087065,0.14815804113872877,0.29085182850691166,02,Formosa
población total censo 2001,78,11,196958.0,0.1996007984031936,0.5431926971390862,29.935349539335043,0.36745854547467377,-3.470275089911374,5.584947044547568,2.7879854421941936,9.993012984139742,0.1611703089226216,0.08895594367072478,0.29200823920618907,02,Santa Cruz
población total censo 2001,38,31,611888.0,0.5625113409544548,1.687532839829005,92.99993480297647,0.33333356701458505,-6.484038924565634,5.066286640692414,3.442295972325304,7.1911894829198735,0.14620281561453802,0.10224255852991755,0.20906424487963018,02,Jujuy
población total censo 2001,46,14,289983.0,0.25403737978588276,0.7997473973866694,44.074079069979355,0.3176470228174539,-4.548249966376168,4.827869219919789,2.639441028025986,8.100344200120551,0.1393225696512441,0.08220134388923804,0.23613699601287247,02,La Rioja
población total censo 2001,70,28,620023.0,0.5080747595717655,1.709968448391371,94.23636119084846,0.2971252247664159,-6.8822821690145854,4.515961504653859,3.0008236236167902,6.526821737785242,0.13032154199175422,0.0895014359305685,0.18975901481942492,02,San Juan
población total censo 2001,10,15,334568.0,0.2721829069134458,0.9227088734472821,50.85048601567972,0.2949824313453908,-5.050803021173214,4.483393510437341,2.5093213136890893,7.394675782347937,0.12938169535632532,0.07769386307951573,0.21545618186271442,02,Catamarca
población total censo 2001,66,46,1079051.0,0.8346942478679006,2.975926964330609,164.00333500425987,0.28048210116462075,-9.354663945514398,4.263005177697811,3.121055576517873,5.686251503458688,0.1230217325156304,0.09151946403797212,0.1653675185954756,02,Salta
