tramo,seleccionados,nacimientos,por_millon,ic_lo,ic_hi
<10k,25,3339077.956239408,7.487096835605454,4.845254306686015,11.052431893232601
10–50k,24,3418173.8684548303,7.021292925292032,4.498674861626531,10.447127316521144
50–100k,11,1280831.9268431645,8.588168181528262,4.287182613233862,15.366605173413971
100–500k,27,2934614.3659230373,9.20052744017273,6.063205557220875,13.386284379074144
>500k,168,10975565.691540722,15.306728119670758,13.07959565082089,17.804373305417016
