unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,RR,RR_ic_lo,RR_ic_hi,RR_referencia
AMBA,1859,5307340.932810999,34.419551934826885,23.077838600786645,1246.4340628284867,1.4914547471379593,19.783013599261494,35.02695650296941,33.452628724603414,36.65624512846226,1.0,0.9377357981861473,1.0663984481922197,AMBA
Cuyo,265,1740858.0,4.9064987965191635,7.569749232146969,408.84215602825776,0.6481719071594078,-7.399481410014699,15.222378849969383,13.444608869313946,17.169832696567507,0.43459039464873017,0.3821100505117849,0.49427857463569647,AMBA
NEA,255,2663171.0,4.721347898537308,11.580230341777488,625.4482407594021,0.4077075981385542,-15.752778246431097,9.575051695891853,8.43579067048181,10.825274498457116,0.27336236578476714,0.23982583800907922,0.3115885412839289,AMBA
NOA,269,3280367.0,4.980559155711905,14.263975338258637,770.397308019349,0.3491704828143609,-19.50935665868681,8.200301978406685,7.249541800283532,9.24109825156759,0.23411403093818622,0.20601587005324057,0.2660444531188867,AMBA
Pampeana,2600,8801582.067189,48.13923347528235,38.27179993703247,2067.0599145991237,1.2578251755727323,14.919698533940327,29.540143807695852,28.415477283640907,30.69791200944328,0.8433545690785775,0.794614305204453,0.8950844762387087,AMBA
Patagonia,153,1204246.0,2.8328087391223846,5.236406549997794,282.8183177653808,0.5409833465133792,-7.929785672326126,12.705045314661621,10.771650912830923,14.885279594317325,0.36272193142400344,0.3075972119604398,0.4277255918460027,AMBA
