unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,RR,RR_ic_lo,RR_ic_hi,RR_referencia
<10k,401,2718050.704165615,7.999202074606024,15.213403599012805,762.647922418512,0.5257996359950045,-14.221988657154721,14.753219996427498,13.344391157817919,16.27032071207949,0.4126765734051829,0.37197468199317407,0.4578321119192957,>500k
10–50k,546,2782435.7537844856,10.891681627767804,15.573777945265126,780.7134883961407,0.699360275075656,-9.142259173371386,19.623094594632303,18.01143496422653,21.340272686228246,0.5488965418315159,0.5012698703666129,0.6010483203673204,>500k
50–100k,263,1042613.0106272532,5.246359465389986,5.835686767706359,292.5429776651198,0.8990132051676241,-1.7799846442013518,25.22508325901044,22.268302083610703,28.465208231442496,0.7055951802867177,0.6222287282729193,0.8001311026344551,>500k
100–500k,609,2388812.3452903717,12.148414123279473,13.370599111896622,670.2681334793778,0.9085916062258048,-2.5425980422975503,25.4938401168541,23.509011212067133,27.601482460242714,0.7131128380726736,0.6539143503912754,0.7776705305821471,>500k
>500k,3194,8934246.054592352,63.714342708956714,50.006532576119085,2506.82747804085,1.2741203884106906,19.410956308549686,35.750078747363695,34.52089679338088,37.01184993610935,1.0,0.9521381863753755,1.050267717763559,>500k
