tier,region,jugadores,poblacion,tasa,tasa_ic_lo,tasa_ic_hi
T1_seleccion,AMBA,88,5307340.932810999,1.6580807812056526,1.329829271655916,2.0428018967500385
T1_seleccion,Cuyo,14,1740858.0,0.8042011467908353,0.43966425040414525,1.3493128745615999
T1_seleccion,NEA,5,2641485.671636832,0.18928741706562746,0.06146110908534311,0.44173368815179803
T1_seleccion,NOA,7,3280367.0,0.21339075780240443,0.08579415204213026,0.43966651785310534
T1_seleccion,Pampeana,134,7833752.20455333,1.7105468299356361,1.433198931863442,2.025907745574514
T1_seleccion,Patagonia,7,1144460.0,0.6116421718539748,0.24591187560245595,1.260216640310922
T2_europa_top,AMBA,110,5307340.932810999,2.072600976507066,1.7034259384673147,2.498044665025963
T2_europa_top,Cuyo,8,1740858.0,0.4595435124519059,0.19839827124030232,0.9054839177114568
T2_europa_top,NEA,10,2641485.671636832,0.3785748341312549,0.18154134802332306,0.6962125988221601
T2_europa_top,NOA,10,3280367.0,0.3048439397177206,0.14618451826068343,0.5606188588660287
T2_europa_top,Pampeana,143,7833752.20455333,1.8254343035880296,1.5385127327885244,2.150335268488898
T2_europa_top,Patagonia,7,1144460.0,0.6116421718539748,0.24591187560245595,1.260216640310922
T3_primera_ar,AMBA,758,5307340.932810999,14.2821049108396,13.283336801551668,15.336074168848707
T3_primera_ar,Cuyo,120,1740858.0,6.893152686778588,5.715108620343457,8.242520950551524
T3_primera_ar,NEA,107,2641485.671636832,4.050750725204427,3.31968797478648,4.894917609028059
T3_primera_ar,NOA,95,3280367.0,2.8960174273183457,2.3430510385981247,3.5402311272962907
T3_primera_ar,Pampeana,1118,7833752.20455333,14.271577282597322,13.447168828417443,15.133304871785898
T3_primera_ar,Patagonia,70,1144460.0,6.1164217185397485,4.768050793207757,7.7277308802438665
T4_resto,AMBA,854,5307340.932810999,16.090920308518495,15.029680458384995,17.20732289235142
T4_resto,Cuyo,104,1740858.0,5.974065661874777,4.881244553555227,7.238580458314541
T4_resto,NEA,128,2641485.671636832,4.845757876880063,4.042699717800545,5.761621955820263
T4_resto,NOA,149,3280367.0,4.542174701794037,3.842141872746434,5.3328555742378105
T4_resto,Pampeana,1135,7833752.20455333,14.488586955051844,13.657841734617884,15.356648522539691
T4_resto,Patagonia,67,1144460.0,5.854289359173759,4.536993842091514,7.4347405438194745
