tramo,jugadores,pct_cambia_departamento,pct_cambia_provincia,km_mediana
<10k,150,94.0,61.33333333333333,307.4460179697148
10–50k,209,97.60765550239235,64.11483253588517,311.65416057278765
50–100k,107,85.98130841121495,65.42056074766354,256.2376231305706
100–500k,225,86.66666666666667,67.55555555555556,470.18719986437367
>500k,1197,51.96324143692564,36.6750208855472,7.099898354304703
