tier,tramo,jugadores,poblacion,pct_jugadores,tasa,tasa_ic_lo,tasa_ic_hi,RR_vs_mas_500k,RR_ic_lo,RR_ic_hi
T1_seleccion,<10k,25,3339077.956239408,9.803921568627452,0.7487096835605455,0.4845254306686015,1.1052431893232602,0.48913763784591857,0.3213388299836941,0.7445587225472431
T1_seleccion,10–50k,24,3418173.8684548303,9.411764705882353,0.7021292925292033,0.4498674861626531,1.0447127316521145,0.45870631988745725,0.2990799633790742,0.7035292017807441
T1_seleccion,50–100k,11,1280831.9268431645,4.313725490196078,0.8588168181528262,0.4287182613233862,1.5366605173413967,0.5610714526569242,0.30486132134455923,1.0326045088243836
T1_seleccion,100–500k,27,2934614.3659230373,10.588235294117647,0.9200527440172729,0.6063205557220875,1.3386284379074145,0.6010773411692785,0.40035307451210034,0.9024383552129044
T1_seleccion,>500k,168,10975565.691540722,65.88235294117646,1.5306728119670758,1.307959565082089,1.7804373305417014,1.0,0.8074698170723945,1.2384363834497902
T2_europa_top,<10k,22,3339077.956239408,7.638888888888889,0.65886452153328,0.4129068878570704,0.9975288035694209,0.36338747929216386,0.2339508933768814,0.5644366567713299
T2_europa_top,10–50k,24,3418173.8684548303,8.333333333333334,0.7021292925292033,0.4498674861626531,1.0447127316521145,0.38724955648790366,0.2535484062549635,0.5914539997119086
T2_europa_top,50–100k,14,1280831.9268431645,4.861111111111111,1.0930395867399605,0.5975749132960053,1.8339346974063861,0.6028506425989427,0.3506309707757392,1.036499703599784
T2_europa_top,100–500k,29,2934614.3659230373,10.069444444444445,0.9882047991296635,0.6618162632567611,1.4192269322407751,0.54503048691173,0.36917386830627735,0.8046567137216475
T2_europa_top,>500k,199,10975565.691540722,69.09722222222223,1.8131183903657624,1.5699445318393723,2.0832888928837963,1.0,0.8216109978153838,1.2171210008859938
T3_primera_ar,<10k,183,3339077.956239408,8.068783068783068,5.480554883663193,4.715241112914512,6.3346937842406055,0.4236069728995754,0.36316901225611753,0.49410291471286977
T3_primera_ar,10–50k,265,3418173.8684548303,11.684303350970017,7.752677605009953,6.847268690166521,8.744505621650212,0.5992255094304462,0.5255704198610247,0.6832028546186562
T3_primera_ar,50–100k,136,1280831.9268431645,5.99647266313933,10.61809884261676,8.908621100099637,12.560022226119619,0.8207016997634702,0.688303562857942,0.9785671850919395
T3_primera_ar,100–500k,264,2934614.3659230373,11.640211640211641,8.996071274835558,7.943524963900181,10.149280451120015,0.6953307833995785,0.6097351591442914,0.7929424621365108
T3_primera_ar,>500k,1420,10975565.691540722,62.61022927689594,12.937829720197902,12.273577540467183,13.628688392090337,1.0,0.9290839877656432,1.0763289575196566
T4_resto,<10k,201,3339077.956239408,8.247845711940911,6.019625855826786,5.21615990048205,6.911819765322011,0.42460667750079645,0.36659588578882696,0.49179720113422026
T4_resto,10–50k,255,3418173.8684548303,10.463684858432499,7.460123733122785,6.572501557930797,8.434198557711987,0.5262151548837476,0.46095324574878727,0.600716866153133
T4_resto,50–100k,114,1280831.9268431645,4.677882642593352,8.900465206311107,7.341786239957612,10.69217753835742,0.6278125999816203,0.5190854982444213,0.7593135659322341
T4_resto,100–500k,311,2934614.3659230373,12.761592121460813,10.597644569976737,9.452428924199273,11.843364352361656,0.747526633376475,0.6618436730727775,0.8443021975458554
T4_resto,>500k,1556,10975565.691540722,63.84899466557243,14.176945806076011,13.481204023607665,14.899283568906064,1.0,0.9321438662849049,1.072795773452373
