grupo,jugadores,nacimientos,tasa_100k,RR_vs_AMBA,RR_ic_lo,RR_ic_hi
Interior (no AMBA),3652,17690224.067189,20.644170396764835,0.5893795081800705,0.5573696451669133,0.6232277047641458
AMBA,1859,5307340.932810999,35.02695650296941,1.0,,
