quinquenio,jugadores,nacimientos,tasa,tasa_ic_lo,tasa_ic_hi,pct_del_pico,edad_en_2022,lectura
1975,581.0,3333304,17.43015338534979,16.041480464462104,18.906868580978873,47.5,43,carrera plausiblemente iniciada
1980,898.0,3281157,27.368394746121567,25.60740809321252,29.21858318818019,74.6,38,carrera plausiblemente iniciada
1985,1213.0,3305886,36.69213033964269,34.65606843883007,38.81658994952872,100.0,33,carrera plausiblemente iniciada
1990,1162.0,3356743,34.61688904989152,32.65488744360305,36.66596712164154,94.3,28,carrera plausiblemente iniciada
1995,1043.0,3373835,30.914374887924275,29.066459200001777,32.84897278796002,84.3,23,carrera plausiblemente iniciada
2000,516.0,3498620,14.748672333662986,13.503403193645763,16.077893710204126,40.2,18,censurada: muchos todavía no debutaron
2005,98.0,3591679,2.728528913636213,2.215151662338078,3.3252027893677383,7.4,13,censurada: muchos todavía no debutaron
