grupo,jugadores,km_mediana,km_p75,edad_mediana_primer_club
Juveniles,214,22.19309107843121,496.7946294557539,18.0
Resto de la muestra,1727,85.00884782625272,585.1360476890682,20.0
Selección Mayor,258,53.326817011274684,415.9417905259856,18.0
