unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,RR,RR_ic_lo,RR_ic_hi,RR_referencia,provincia
02,962,1528013,17.45599709671566,6.644238205218683,366.1639674896016,2.6272383014511638,32.2268900199301,62.95757954938865,59.04152239665712,67.06511117783597,1.0,0.9145101928979258,1.093481524608459,02,Ciudad Autónoma de Buenos Aires
82,950,1751516,17.2382507711849,7.616093269004784,419.72290005485365,2.2633980654280346,26.92919543360087,54.23872805044316,50.84409803130936,57.800410606821735,0.8615122823756944,0.7876398018952221,0.9423132387396947,02,Santa Fe
14,577,1823547,10.469969152603882,7.929304689431251,436.9839814345562,1.3204145335162885,6.980463394199999,31.64163029524328,29.11217757028772,34.33202516226769,0.502586511770536,0.4533048577253071,0.5572258878521463,02,Córdoba
42,49,181052,0.8891308292505897,0.7872659562001455,43.38622684619002,1.1293906744578541,0.8556481369515283,27.064047897841505,20.022131624521762,35.780106595297646,0.42987751580586786,0.32261613567782166,0.5728004837921935,02,La Pampa
30,181,762141,3.284340410088913,3.3140073742589706,182.63494639541187,0.9910480090055046,-0.1230353183293372,23.748886360922718,20.414978987771335,27.472003891486857,0.37722044797310395,0.3218327482547228,0.44214041964556683,02,Entre Ríos
06,1799,8062654,32.643803302485935,35.05872904370528,1932.086557598598,0.9311177042895987,-3.757167096933277,22.312752103711755,21.293485260293355,23.368202230082122,0.35440930644749385,0.3277226090566013,0.3832691215847732,02,Buenos Aires
74,48,234047,0.8709853021230267,1.0177033959899668,56.08563415300707,0.8558341315897637,-1.0851993042716088,20.508701243767277,15.121497316130197,27.191562456313164,0.32575428392507866,0.2437821829607446,0.43528961881774686,02,San Luis
50,204,1053889,3.7016875340228634,4.582611246016698,252.54770576798023,0.8077681774207768,-3.1273985735914636,19.35687724229022,16.79161291072181,22.20321449502608,0.30745904434120175,0.2643479277384678,0.3576009267631907,02,Mendoza
26,50,287882,0.9072763563781527,1.251793396387835,68.98633407493358,0.7247812290719716,-2.3003555979459707,17.36822725978005,12.89103304043388,22.897842402212298,0.2758719027016454,0.20760637755993577,0.36658462805775116,02,Chubut
94,9,59786,0.1633097441480675,0.25996665299130584,14.326762246350864,0.6281949714278513,-1.4091412607250946,15.053691499682198,6.88350633489167,28.57659561004109,0.23910848554577852,0.12403292726687273,0.4609491134316376,02,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
62,54,390403,0.979858464888405,1.697584070313531,93.5538581149787,0.5772076223049339,-4.124543653645177,13.831860923199873,10.390919632416951,18.047578116385047,0.2197012817551082,0.1670290702909801,0.28898354711996527,02,Río Negro
90,116,964952,2.1048811467973145,4.1958876950668476,231.23537087513395,0.5016533567550073,-7.742239379896441,12.021323340435586,9.933452078591833,14.41843226173913,0.19094322600196467,0.15748631887006415,0.23150782758544583,02,Tucumán
86,63,570057,1.1431682090364725,2.4787711220731414,136.6050765374508,0.4611834464492124,-6.377122602402032,11.051526426304738,8.492296348520807,14.13970309756577,0.17553925207107257,0.13604327305681843,0.22650167351385386,02,Santiago del Estero
58,35,329440,0.6350934494647069,1.4324994841845213,78.94504657340897,0.4433463721812413,-4.9817349164249025,10.62408936376882,7.400067509264135,14.775536476773636,0.1687499652910653,0.12043990565704166,0.236437837030727,02,Neuquén
18,74,702816,1.342769007439666,3.0560452813156522,168.4186554533056,0.43938125382147253,-7.389283812856063,10.52907162045258,8.267585860785893,13.218285227128671,0.1672407309145801,0.13202513286221124,0.2118495279685382,02,Corrientes
54,80,780909,1.4516421702050444,3.3956160141301917,187.13239853871485,0.4275048074235484,-7.96797418609144,10.244471506923343,8.123228774542278,12.750131573261221,0.16272022495538935,0.1295377256797267,0.20440278282326235,02,Misiones
22,80,783142,1.4516421702050444,3.4053257377465833,187.6675014072142,0.42628584810968606,-7.996749790013808,10.215261089304366,8.100066730042617,12.713776680019519,0.1622562551231937,0.1291683702608591,0.20381996206528447,02,Chaco
34,35,396304,0.6350934494647069,1.7232433085850611,94.96793873612272,0.36854543191940564,-6.207335333156897,8.831604021155476,6.151535791341941,12.282623281390817,0.14027864610371976,0.1001194096442524,0.19654629030088694,02,Formosa
78,11,136735,0.1996007984031936,0.5945629461206001,32.76636396070627,0.33571012069545775,-3.813877080265321,8.044758108750504,4.015914262797997,14.394294447875053,0.12778061301482518,0.07052691708256717,0.23151281436744434,02,Santa Cruz
46,14,198486,0.25403737978588276,0.863073981962873,47.56400714597393,0.2943402131160649,-4.887838668420602,7.053394194048951,3.8561562408938643,11.834396945797476,0.11203407507932765,0.06610093078215264,0.18988588860036731,02,La Rioja
38,31,474149,0.5625113409544548,2.0617356663629387,113.62225257326156,0.27283387978962803,-7.832296722625075,6.538029184918665,4.442273626885611,9.280210546315349,0.10384816620514682,0.0726231035074439,0.14849877109791088,02,Jujuy
10,15,230658,0.2721829069134458,1.0029670532510724,55.273514304666605,0.2713777147825317,-5.444398428403446,6.503134510834221,3.639755019458814,10.725931409916779,0.10329390928589742,0.06202811628727112,0.17201282795932232,02,Catamarca
70,28,452922,0.5080747595717655,1.969434590140304,108.53554026263215,0.25798001218998085,-7.8076589864065165,6.1820799166302365,4.107947208538674,8.934826734684602,0.09819437089033177,0.06743733277449697,0.14297917900742418,02,San Juan
66,46,842065,0.8346942478679006,3.6615398195417646,201.78745945494666,0.22796263020631605,-11.173405454278207,5.462761188269314,3.999427764955422,7.286557891681284,0.0867689200787002,0.06454993681500412,0.11663598545729084,02,Salta
