modelo,termino,coef,ee,IRR,IRR_ic_lo,IRR_ic_hi,p,aic,n_ciudades
lineal,const,-10.312242888311513,0.25462482086368177,3.322383930667545e-05,2.0170319479675447e-05,5.47251370702411e-05,0.0,3652.828517033432,3459
lineal,log_tamano,0.1667005802559379,0.027337713894556456,1.1814004777168368,1.119765900000407,1.2464275691455358,1.0752172889686886e-09,3652.828517033432,3459
cuadratico,const,-11.007223592980681,0.9531388276996866,1.658148920415908e-05,2.560414579316971e-06,0.00010738330676940221,7.521194103007669e-31,3654.280611664833,3459
cuadratico,log_tamano,0.3173794821854559,0.1993577832761326,1.3735237008154009,0.9292712584456936,2.0301578678513335,0.11138257302204693,3654.280611664833,3459
cuadratico,log_tamano2,-0.007944142863531452,0.01032552876002788,0.9920873284467172,0.972211595514361,1.012369397573191,0.4416742214133419,3654.280611664833,3459
