baseline,unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,RR,RR_ic_lo,RR_ic_hi,RR_referencia,provincia
población total censo 2022,02,962,3095454.0,17.45599709671566,6.785481173720019,373.94786748371024,2.572551105781894,31.49695121286488,31.077832201673807,29.14474379586427,33.105438402954356,1.0,0.9145101928979258,1.093481524608459,02,Ciudad Autónoma de Buenos Aires
población total censo 2022,82,950,3519059.0,17.2382507711849,7.714056998976562,425.1216812135983,2.234654316590081,26.49928946809964,26.995853152788854,25.30626829712342,28.768583869840764,0.8686530314471194,0.7941682499499509,0.9501237163407413,02,Santa Fe
población total censo 2022,14,577,3812064.0,10.469969152603882,8.35634724502959,460.5182966735808,1.2529361030121728,5.670000176192559,15.136157210372124,13.926162853447755,16.423140190872388,0.4870403158157508,0.4392830605214236,0.5399895660632644,02,Córdoba
población total censo 2022,42,49,359193.0,0.8891308292505897,0.7873796022270124,43.39248987873066,1.129227664440107,0.8546323354470036,13.641691235630983,10.092198274696093,18.03503926661107,0.4389524709157887,0.32942674298191366,0.5848926227997674,02,La Pampa
población total censo 2022,30,181,1415097.0,3.284340410088913,3.1020050863258435,170.95150030741723,1.058779827462835,0.7807416893547785,12.79064262025854,10.995071363107286,14.795834149787387,0.4115680442978148,0.3511370486459722,0.48239926758030816,02,Entre Ríos
población total censo 2022,06,1799,17408906.0,32.643803302485935,38.16170549394741,2103.0915897714417,0.8554073482817315,-8.43230999663274,10.3337912215736,9.861734224301356,10.822605922691553,0.33251325750504046,0.30747531262022804,0.359590060985402,02,Buenos Aires
población total censo 2022,50,204,2030773.0,3.7016875340228634,4.45161580808467,245.32854718354614,0.8315379614072161,-2.6993824611445034,10.045435900516699,8.714167530722388,11.522569741152036,0.32323476860704803,0.2779116205131776,0.3759494311303826,02,Mendoza
población total censo 2022,74,48,540548.0,0.8709853021230267,1.1849241750941892,65.30117128944077,0.7350557279783682,-2.153790297329063,8.879877457691084,6.547320649319439,11.773429220370303,0.28573027230685755,0.21382972675488784,0.38180747715277497,02,San Luis
población total censo 2022,26,50,589454.0,0.9072763563781527,1.2921300138118543,71.20928506117129,0.702155624186484,-2.5297745914596397,8.482426109586159,6.295820155171034,11.183021349305767,0.2729413703806956,0.20540101632699906,0.3626904725081429,02,Chubut
población total censo 2022,62,54,747697.0,0.979858464888405,1.6390112458937967,90.32590976120714,0.5978351078085873,-3.8538861845991432,7.222176897861032,5.425521564556866,9.42337422695433,0.23238998302693892,0.17667572305378124,0.3056735995064894,02,Río Negro
