tramo,juveniles,llegan_a_mayor,pct_conversion,ic_lo,ic_hi
<10k,19,7,36.8421052631579,16.288587215509967,61.64220766855936
10–50k,25,14,56.0,34.928163399133574,75.59763348527797
50–100k,20,6,30.0,11.893159040572767,54.27891822764719
100–500k,31,12,38.70967741935484,21.849959849856912,57.81304108659396
>500k,242,68,28.09917355371901,22.52927026590935,34.21445181192349
