unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,RR,RR_ic_lo,RR_ic_hi,RR_referencia
<10k,409,3182775.948562951,7.793445121951219,14.50126523109162,761.0263993276883,0.5374320790465638,-13.800522464314145,12.850417579178542,11.635052939536402,14.158230157549712,0.36437599117609726,0.32794144536080017,0.404858442943954,>500k
10–50k,648,4035584.0026514856,12.347560975609756,18.386802882314818,964.9394152638816,0.6715447516700224,-11.293954491441845,16.057155533728125,14.844475122572817,17.342504074942536,0.45530364496100323,0.41720912062791377,0.4968765035691925,>500k
50–100k,364,1937613.637292949,6.935975609756097,8.828095261449873,463.2984393208894,0.7856706802931547,-4.831494506507467,18.785994947297464,16.90544689021693,20.818548229465193,0.5326803963352794,0.47684746567213676,0.5950506714761605,>500k
100–500k,1576,6409537.66725086,30.03048780487805,29.202937066130286,1532.5701372305173,1.0283379283691148,1.3184712284472817,24.588356942693004,23.389254734440026,25.832999133192445,0.6972074547135583,0.6537394396934633,0.7435657165431055,>500k
>500k,2251,6382752.553242916,42.892530487804876,29.080899559013396,1526.165608857023,1.4749382288111055,22.03212315665463,35.266916290783094,33.824918268950164,36.754582683900765,1.0,0.9432519480882137,1.060162135924345,>500k
