unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,departamento,provincia,region,reportable
06505,6.0,3681.446236605573,0.11133791055854518,0.016007982743414674,0.8626701900426168,6.955149336623761,5.53158787390087,162.97942749619557,59.81057747351697,354.73759993192226,Magdalena,Buenos Aires,Pampeana,False
50007,87.0,84393.05329540597,1.6143997030989052,0.3669651691185827,19.775752963800418,4.3993267998065,15.144598101131393,103.08905366353883,82.57010596820413,127.15996683623435,Capital,Mendoza,Cuyo,True
22039,2.0,2012.0058032571746,0.037112636852848394,0.008748777547784622,0.47147162205011334,4.242036861738027,2.226202805922753,99.40329181766083,12.03819979802543,359.0788682631101,2 de Abril,Chaco,NEA,False
06568,62.0,66612.6645325784,1.1504917424383003,0.28965094579612405,15.609289468953127,3.971993736378455,11.75897152680582,93.07539404864599,71.3603709140392,119.318454581372,Morón,Buenos Aires,AMBA,True
06168,4.0,4494.458809909903,0.07422527370569679,0.019543194289960274,1.0531827402859593,3.798011348831945,2.8717311558613563,88.99847944273819,24.249090262508666,227.87145479722398,Castelli,Buenos Aires,Pampeana,False
30008,11.0,12592.164004938337,0.20411950269066617,0.05475433596964869,2.950711165404368,3.7279148596343723,4.687195754574299,87.35591432644992,43.60775769028535,156.30386092162667,Colón,Entre Ríos,Pampeana,False
82021,78.0,91231.587884179,1.4473928372610874,0.3967010763277721,21.378221003303636,3.6485730027744796,12.270460669497202,85.49670328989903,67.58159606220381,106.70375503543262,Castellanos,Santa Fe,Pampeana,True
06161,6.0,8037.627450630581,0.11133791055854518,0.03494990643848851,1.8834504579701459,3.1856425926203493,3.0000752762435052,74.64889405304893,27.39482847414264,162.47921544925703,Carmen de Areco,Buenos Aires,Pampeana,False
82014,35.0,47237.2656510502,0.6494711449248469,0.20540116160580565,11.069068598936866,3.161964323119435,7.200299210481145,74.09404316192011,51.609215873353094,103.04687771020647,Caseros,Santa Fe,Pampeana,True
82063,195.0,280121.7250749555,3.6184820931527186,1.2180494981749392,65.64068745664748,2.9707184302234513,16.064689648415083,69.6125942919356,60.18444204405534,80.09876069812918,La Capital,Santa Fe,Pampeana,True
74042,5.0,7329.985948886045,0.09278159213212099,0.031872878493379816,1.7176294220082384,2.910988794168442,2.504909834698237,68.21295477053215,22.148560739944475,159.18628167487736,Gobernador Dupuy,San Luis,Cuyo,False
06778,7.0,10271.2532536122,0.12989422898496938,0.044662351225498,2.4068541075420873,2.9083607427907197,2.9612996945266135,68.15137186436559,27.40038612649445,140.41787312205744,San Vicente,Buenos Aires,Pampeana,False
14063,42.0,62355.82664450501,0.7793653739098163,0.2711409953380065,14.61178823876517,2.874391505933115,7.174663998676707,67.35537360356872,48.54382879894862,91.0448980207587,Marcos Juárez,Córdoba,Pampeana,True
06511,4.0,6178.39723182795,0.07422527370569679,0.0268654408926682,1.4477786097058893,2.762853362512784,2.121414884542342,64.74170970092439,17.63993690810126,165.76449022481518,Maipú,Buenos Aires,Pampeana,False
06693,4.0,6252.301258697192,0.07422527370569679,0.027186796770428488,1.465096477958391,2.7301956288735276,2.094533766192165,63.97644378437213,17.43142770208458,163.80510553865668,Roque Pérez,Buenos Aires,Pampeana,False
02000,962.0,1528013.0,17.85117832622008,6.644238205218683,358.05799687923485,2.6867155834658307,33.03299735866715,62.95757954938865,59.04152239665712,67.06511117783597,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,AMBA,True
30015,23.0,36775.11293105614,0.42679532380775653,0.15990872481958912,8.617481180527657,2.668993354110428,4.903343228827951,62.542296044390326,39.64645075156799,93.84415204797008,Concordia,Entre Ríos,Pampeana,False
82084,389.0,667934.458915916,7.218407867879013,2.904370349277917,156.51651812258694,2.485360680559781,18.858718206212767,58.239247100885066,52.59485495186203,64.32434449842641,Rosario,Santa Fe,Pampeana,True
06686,8.0,13950.788650352264,0.14845054741139357,0.060662025089840005,3.269076532091478,2.4471742773430236,2.617370145697686,57.34442833665892,24.757253968300148,112.99138432432123,Rojas,Buenos Aires,Pampeana,False
82119,47.0,82180.61391383225,0.8721469660419373,0.3573448489604541,19.25731391047887,2.4406311398613565,6.333270056554781,57.19110354819239,42.02187173154372,76.0520436196538,San Lorenzo,Santa Fe,Pampeana,True
06714,10.0,17521.681517424608,0.18556318426424198,0.07618929011582141,4.105840844341617,2.4355547083081173,2.909955242651824,57.072147955979005,27.36831331720995,104.95771209931712,Salto,Buenos Aires,Pampeana,False
06574,5.0,8923.135052542679,0.09278159213212099,0.03880034713476265,2.0909507070923596,2.39125675370555,2.012164363609563,56.03411772385124,18.194125501393177,130.7649386747513,Navarro,Buenos Aires,Pampeana,False
14140,63.0,115305.57305342238,1.1690480608647245,0.5013816595514455,27.019457633227397,2.331653020396873,6.939383146156756,54.63742847087832,41.98490022078804,69.90500558853783,San Justo,Córdoba,Pampeana,True
06270,15.0,27663.87080039714,0.27834477639636296,0.12029043422813303,6.482451500554089,2.3139394099158124,3.3473902099949036,54.222346931235165,30.34783596756383,89.43151538695979,Ezeiza,Buenos Aires,AMBA,False
06623,31.0,59157.12991194265,0.5752458712191502,0.25723214571604713,13.862240332637779,2.236290762252364,4.608893028116171,52.40281272290344,35.605168828330285,74.38160973790858,Pergamino,Buenos Aires,Pampeana,True
06134,5.0,9563.980454490662,0.09278159213212099,0.041586926505004604,2.241119469354698,2.2310278717268415,1.843277465621929,52.279487853326856,16.975007402447492,122.00288504190674,Cañuelas,Buenos Aires,Pampeana,False
86154,2.0,3830.8247439678353,0.037112636852848394,0.016657523281129263,0.897673929620056,2.227980488245334,1.1635550806585535,52.20807877335755,6.322640546930715,188.59353143471867,Rivadavia,Santiago del Estero,NOA,False
06392,9.0,17239.28467469454,0.16700686583781776,0.07496134775440157,4.039667030484701,2.227906392304846,2.4688851229926954,52.20634248943667,23.87206415483857,99.10390003883319,General Villegas,Buenos Aires,Pampeana,False
06448,3.0,5809.938234171329,0.05566895527927259,0.025263275630143144,1.361437923708414,2.203552543790109,1.4044906183068584,51.63566081228555,10.648514630617973,150.9013128259667,Laprida,Buenos Aires,Pampeana,False
06791,33.0,64239.69908647082,0.6123585080719985,0.2793326123286131,15.053234478388964,2.192219887850425,4.632108113107275,51.37010364195488,35.360815657235655,72.14272471417853,Tandil,Buenos Aires,Pampeana,True
82070,28.0,54652.32548844681,0.5195769159398775,0.23764396573483676,12.806633313450353,2.186366964266291,4.250628830817182,51.23295257750567,34.04392491915223,74.045881088487,Las Colonias,Santa Fe,Pampeana,False
82126,18.0,35597.505628074425,0.33401373167563553,0.15478815095456597,8.34153345494156,2.157876617918103,3.346737195579425,50.56534069568086,29.968225560124985,79.91503833092254,San Martín,Santa Fe,Pampeana,False
06112,12.0,24769.94555299484,0.22267582111709036,0.10770681832183032,5.804320439363437,2.067425485095383,2.5730443159541148,48.44580693294712,25.03265538253285,84.625075187711,Bragado,Buenos Aires,Pampeana,False
06469,12.0,24993.33258156752,0.22267582111709036,0.10867816910863182,5.856666533264168,2.048947115538076,2.5398903115920204,48.01280485840432,24.808916892079925,83.86870770341385,Lincoln,Buenos Aires,Pampeana,False
42105,15.0,31640.501254723487,0.27834477639636296,0.13758196250221918,7.414291959244593,2.0231196832351714,2.7877912000197993,47.40759281669315,26.53366982146023,78.19161483035126,Maracó,La Pampa,Pampeana,False
14084,10.0,21914.378156045772,0.18556318426424198,0.09528999333645007,5.135177740901294,1.9473522640415681,2.147811956475455,45.63214127634822,21.88238544569185,83.91913250316993,Presidente Roque Sáenz Peña,Córdoba,Pampeana,False
06322,3.0,6575.887881632739,0.05566895527927259,0.028593844094506257,1.5409222582529425,1.9468860183779302,1.1755745290278254,45.62121578105624,9.408191472114794,133.32455217538595,General La Madrid,Buenos Aires,Pampeana,False
06644,4.0,8783.36410566933,0.07422527370569679,0.038192583022025724,2.0581982990569663,1.943447335386846,1.3537679237351596,45.54063741269875,12.40829095224298,116.60211909914032,Pinamar,Buenos Aires,Pampeana,False
06441,155.0,342734.2018897365,2.8762293560957506,1.490306481967706,80.31261631323969,1.9299582944161657,8.396839951082175,45.22454985390287,38.38518345540069,52.93107792577967,La Plata,Buenos Aires,AMBA,True
30113,5.0,11145.953871888652,0.09278159213212099,0.04846580006139195,2.6118219653084123,1.9143724443750836,1.4780876294650587,44.85932794509908,14.565701677745464,104.68670706373112,Villaguay,Entre Ríos,Pampeana,False
82028,22.0,49190.62183698002,0.40823900538133234,0.213894913817963,11.526796905650025,1.9085961329999996,3.0880915648120837,44.72397212807964,28.028275222706675,67.71263127656802,Constitución,Santa Fe,Pampeana,False
06413,23.0,52611.46165255629,0.42679532380775653,0.2287697051951208,12.32839941296506,1.8656111981424157,3.0428010005479704,43.71670977683715,27.712643935518315,65.59652936986251,Junín,Buenos Aires,Pampeana,False
06847,2.0,4680.825602835436,0.037112636852848394,0.020353570488160097,1.096853913606948,1.8233968764565032,0.8624378564193166,42.7275051390184,5.174499096852603,154.34643972523918,Tres Lomas,Buenos Aires,Pampeana,False
06679,4.0,9363.12373434594,0.07422527370569679,0.040713543952787784,2.1940528836157336,1.8231101127371732,1.2194665986331699,42.720785428981834,11.639976193291838,109.38217806345287,Rivadavia,Buenos Aires,Pampeana,False
06277,2.0,4776.077158197423,0.037112636852848394,0.02076775153455343,1.1191741301970846,1.787032014086855,0.8326957176872027,41.87537038775219,5.071301625189389,151.2682360108832,Florentino Ameghino,Buenos Aires,Pampeana,False
42133,4.0,9589.677171673044,0.07422527370569679,0.04169866319183376,2.247140959407921,1.7800396469360444,1.1695597165717422,41.71151883835677,11.364985015821798,106.79805474220063,Realicó,La Pampa,Pampeana,False
06700,5.0,11997.527904143119,0.09278159213212099,0.05216868787692575,2.8113705896875287,1.778491963436143,1.305649162978671,41.67525210150455,13.531840918309353,97.25613620196901,Saavedra,Buenos Aires,Pampeana,False
14056,14.0,33637.18296642243,0.25978845796993877,0.14626410651050417,7.88217269985107,1.776160017435868,2.1806807058733804,41.62060780766092,22.754373586934914,69.83230773303332,Juárez Celman,Córdoba,Pampeana,False
06329,3.0,7219.204428295585,0.05566895527927259,0.03139116870979856,1.6916700817710442,1.7733954346814707,1.0060686453223855,41.55582557326589,8.569810275363912,121.44375681313446,General Las Heras,Buenos Aires,Pampeana,False
82042,44.0,107050.90130693032,0.8164780107626647,0.4654879823447844,25.08514736856043,1.7540259721633455,3.7853652227469325,41.10194259256695,29.864734409363273,55.177439478955385,General López,Santa Fe,Pampeana,True
06763,34.0,82784.70722511281,0.6309148264984227,0.3599716197132732,19.39887058634829,1.7526793556696578,3.321095055760047,41.07038744190433,28.442437225204774,57.391749862697345,San Nicolás,Buenos Aires,Pampeana,True
06154,3.0,7339.425245040444,0.05566895527927259,0.03191392325683368,1.7198413243107673,1.7443469682892176,0.9763126693655382,40.87513531154534,8.42943557894624,119.45449101299499,Carlos Tejedor,Buenos Aires,Pampeana,False
14042,28.0,69323.75912920761,0.5195769159398775,0.30143956166319175,16.244577978029405,1.723652041799403,2.9210538589271047,40.39019284544682,26.838989820473405,58.37507436352832,General San Martín,Córdoba,Pampeana,False
06105,8.0,20072.596230644343,0.14845054741139357,0.08728139796819509,4.703594536506032,1.700826875681898,1.520601093847527,39.85533265391248,17.206703791887275,78.53089375717147,Bolívar,Buenos Aires,Pampeana,False
06035,83.0,208449.87774501677,1.5401744293932085,0.9063997764329257,48.845883951970364,1.6992219872940166,4.909149515765626,39.81772543974745,31.71459605203991,49.36006147392706,Avellaneda,Buenos Aires,AMBA,True
