baseline,unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,RR,RR_ic_lo,RR_ic_hi,RR_referencia,provincia
población total censo 1991,82,950,2798261.0,17.2382507711849,8.581199431841425,472.90990068878097,2.0088393129776936,22.94528420930953,33.949656590289464,31.824855225229825,36.17902117937461,1.0463855870520937,0.9566606923107275,1.1445257504472852,02,Santa Fe
población total censo 1991,02,962,2965046.0,17.45599709671566,9.092665427057623,501.0967916851456,1.91978878325059,21.594813515272257,32.44469057141103,30.42658149717854,34.56147450197355,1.0,0.9145101928979258,1.093481524608459,02,Ciudad Autónoma de Buenos Aires
población total censo 1991,14,577,2766683.0,10.469969152603882,8.484361747415745,467.5731759000817,1.2340314409381394,5.289947284992003,20.855298565104857,19.188112288890874,22.62856333326867,0.6427954219258825,0.5797654343251181,0.7126778003415236,02,Córdoba
población total censo 1991,42,49,259996.0,0.8891308292505897,0.7973085882557214,43.93967629877281,1.115165247618552,0.7664576174995132,18.846443791442944,13.942702868055331,24.91599816647883,0.5808791349068891,0.4359404130458562,0.7740061698172565,02,La Pampa
población total censo 1991,30,181,1020065.0,3.284340410088913,3.12815037569452,172.39236720452502,1.0499304750845666,0.6660792721115804,17.743967296201713,15.2530402481401,20.52569249789149,0.5468989527623046,0.46659716866057044,0.6410207447059904,02,Entre Ríos
población total censo 1991,74,48,286458.0,0.8709853021230267,0.8784574515552449,48.411790155209545,0.991494010985974,-0.05944514114008609,16.756383134700375,12.354834154913894,22.21653302827195,0.516459945821318,0.38649908601989663,0.6901203270220092,02,San Luis
población total censo 1991,50,204,1412481.0,3.7016875340228634,4.331540608501784,238.71120293453328,0.8545891331960116,-2.2969358904643014,14.442672149218291,12.528661368802625,16.56639878408881,0.4451474769787016,0.38273004240115616,0.5177442434811727,02,Mendoza
población total censo 1991,06,1799,12589984.0,32.643803302485935,38.60868001508531,2127.7243556313515,0.8455042568078277,-9.09537719929632,14.289136507242585,13.636395733929866,14.96504913613715,0.440415249940266,0.4072523834814208,0.47627859344080636,02,Buenos Aires
población total censo 1991,26,50,357189.0,0.9072763563781527,1.0953624568473086,60.36542499685518,0.8282887100124752,-1.3414813965332988,13.99819143366677,10.389727493697137,18.454870296771965,0.431447832823575,0.3246844669624013,0.5733173323308859,02,Chubut
población total censo 1991,94,9,69242.0,0.1633097441480675,0.21233881008939623,11.701991824026626,0.7690998366210722,-0.7907072365532417,12.997891453164264,5.943463645443999,24.6740467511325,0.4006169029276392,0.20781231192730024,0.7723021866359855,02,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
