unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,RR,RR_ic_lo,RR_ic_hi,RR_referencia,provincia
02,962,2979777,17.45599709671566,6.988136562816359,385.1162059768095,2.497947334000088,30.480582963178996,32.28429509993533,30.276162867853277,34.390614373551664,1.0,0.9145101928979258,1.093481524608459,02,Ciudad Autónoma de Buenos Aires
82,950,3350445,17.2382507711849,7.85742262129188,433.0225606593955,2.1938810729708047,25.88130383148513,28.3544424695824,26.57982781612796,30.21638737075761,0.8782735500902789,0.8029638336615748,0.9606465402939788,02,Santa Fe
14,577,3548891,10.469969152603882,8.322815752504267,458.6703761205102,1.2579840121359835,5.7704875095996755,16.25860022187213,14.958877032787274,17.64102123412011,0.5036070997227595,0.454225370842241,0.5583574304114671,02,Córdoba
42,49,347529,0.8891308292505897,0.81502075878128,44.915794016436344,1.090930285726867,0.6119066079140331,14.09954277197011,10.430919361788266,18.640343278666904,0.4367306991936879,0.32775933917271766,0.5819321704139071,02,La Pampa
06,1799,14553001,32.643803302485935,34.12951988917393,1880.8778410923753,0.9564682834240726,-2.32616583837044,12.361711512285336,11.797017268661307,12.946452019290078,0.3829017010908842,0.3540695523815379,0.41408167325357864,02,Buenos Aires
30,181,1538540,3.284340410088913,3.60816518395688,198.84598328786365,0.9102522314366868,-1.2890268007861119,11.764400015599204,10.11289436785461,13.608707292538174,0.36440008924409717,0.3108948171178035,0.4271136658762327,02,Entre Ríos
50,204,1913919,3.7016875340228634,4.488499421993297,247.36120314605063,0.8247049149399202,-2.82102995443449,10.65875828600897,9.246209551641266,12.226078282805357,0.33015304354687053,0.28385983273046894,0.38399597123260704,02,Mendoza
74,48,457354,0.8709853021230267,1.072581005071961,59.10993918951577,0.8120461746053307,-1.4528577228464272,10.495152551415316,7.738296991713911,13.915049651282654,0.32508538653013175,0.24328160545443492,0.43439580373551273,02,San Luis
26,50,508336,0.9072763563781527,1.1921433677069848,65.69902099433195,0.7610463480774493,-1.9484864138652809,9.836013975008656,7.300479158954287,12.967558202515033,0.3046686924574778,0.22927729492417728,0.40485043315975117,02,Chubut
62,54,648307,0.979858464888405,1.520401644361234,83.78933462074761,0.644473431426781,-3.2793917342248955,8.329387157627481,6.2572919886018115,10.868043441411354,0.2580012086943217,0.1961467938552877,0.3393612629571743,02,Río Negro
90,116,1795023,2.1048811467973145,4.209665977486338,231.9946920192721,0.5000114398753732,-7.781050753034147,6.462312739168245,5.339934056634008,7.750928566280041,0.20016892793119057,0.16509550127599712,0.24269346771684264,02,Tucumán
94,9,144732,0.1633097441480675,0.3394237156033949,18.705640966903093,0.4811382842172684,-2.2478960674101156,6.218389851587762,2.8434438115816363,11.80444093318628,0.19261346212884228,0.09991452827078068,0.37131682884708755,02,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
58,35,585383,0.6350934494647069,1.3728330494366285,75.6568293544526,0.46261521000338035,-4.706641928935956,5.978991532039707,4.164586672745838,8.315329855681336,0.18519814397470563,0.1321792685983666,0.25948360053264535,02,Neuquén
54,80,1350396,1.4516421702050444,3.1669321770994805,174.52963227995238,0.45837488428140877,-7.2714586042129215,5.924188164064467,4.697512773363543,7.373164980304923,0.183500619905941,0.14608050701719671,0.23050630226728797,02,Misiones
22,80,1357249,1.4516421702050444,3.183003748852998,175.4153365992887,0.4560604651276791,-7.321643924100321,5.894275847688965,4.673794166802875,7.335936513302899,0.18257409150310894,0.14534291965143786,0.2293424335229104,02,Chaco
18,74,1420525,1.342769007439666,3.331397849870882,183.5933355063843,0.4030647397733384,-8.226459607509817,5.209341616655814,4.0904536170318,6.53985135790617,0.16135838185502924,0.12738142010227496,0.20439815613586831,02,Corrientes
86,63,1211507,1.1431682090364725,2.841211393606957,156.57915990167942,0.4023523950413294,-7.587018046538083,5.200135038427347,3.9959265440057092,6.653231659981369,0.16107320981704704,0.12483206124409486,0.2078358609334728,02,Santiago del Estero
34,35,723190,0.6350934494647069,1.6960163397674264,93.46746048458286,0.3744618696019149,-6.099559196829596,4.8396686901091,3.3710065684702175,6.7308075843254285,0.1499078321248152,0.1069919340559433,0.21003787183257727,02,Formosa
78,11,235577,0.1996007984031936,0.5524722981144526,30.446748349087486,0.3612865280022482,-3.53410574453188,4.669386230404497,2.330940782519873,8.35482178366392,0.144633364797048,0.07982858342705415,0.26204661681903924,02,Santa Cruz
46,14,363779,0.25403737978588276,0.8531300599624644,47.01599760453141,0.2977709867555948,-4.835730536838755,3.848490429628978,2.1040055298135942,6.457113005928208,0.1192062709659932,0.07033257926521311,0.20204200082060986,02,La Rioja
38,31,808995,0.5625113409544548,1.8972451759429045,104.55718164621346,0.29648848134500827,-7.262857867714081,3.831914906767038,2.6036002668918665,5.439097337220719,0.11869284724679381,0.08300428641338807,0.1697260779688894,02,Jujuy
10,15,451584,0.2721829069134458,1.0590492716679343,58.36420536161986,0.2570068401867416,-5.706503190339839,3.321641156462585,1.8590973402032205,5.4785419482279805,0.10288721330853028,0.06178389486558136,0.17133556706688213,02,Catamarca
70,28,857733,0.5080747595717655,2.0115449372332774,110.85624149092591,0.25257937328041136,-7.949827383241691,3.2644191141066043,2.1691827941629307,4.717994520820371,0.10111477125338082,0.06944298757254702,0.14723152506856535,02,San Juan
66,46,1488737,0.8346942478679006,3.4913677976967863,192.4092793310699,0.23907370871053413,-10.744161213550484,3.089867451403438,2.262171317631783,4.121450176262564,0.0957080661615445,0.07120002897132377,0.12865210956686318,02,Salta
