grupo,region,seleccionados,nacimientos,por_millon,ic_lo,ic_hi
Selección Mayor,AMBA,91,5307340.932810999,17.14606262383118,13.804940067798771,21.051565431914273
Selección Mayor,Cuyo,15,1740858.0,8.616440858473236,4.822556539811583,14.211508848789416
Selección Mayor,NEA,6,2641485.671636832,2.271449004787529,0.8335817517898623,4.943988211916443
Selección Mayor,NOA,7,3280367.0,2.1339075780240444,0.8579415204213027,4.3966651785310535
Selección Mayor,Pampeana,136,7833752.20455333,17.36077379636168,14.565748355588815,20.535851848521727
Selección Mayor,Patagonia,7,1144460.0,6.116421718539748,2.459118756024559,12.602166403109218
Juveniles (sub-17 / sub-20),AMBA,144,5307340.932810999,27.132230965183407,22.881782560281984,31.943211316886085
Juveniles (sub-17 / sub-20),Cuyo,10,1740858.0,5.744293905648824,2.7546122062410796,10.563961013487475
Juveniles (sub-17 / sub-20),NEA,9,2641485.671636832,3.4071735071812936,1.5579766877282313,6.467876632786101
Juveniles (sub-17 / sub-20),NOA,9,3280367.0,2.7435954574594854,1.25454654841313,5.208198793433529
Juveniles (sub-17 / sub-20),Pampeana,157,7833752.20455333,20.04148151491753,17.02915063801276,23.43314139469218
Juveniles (sub-17 / sub-20),Patagonia,13,1144460.0,11.359068905859532,6.048225792953707,19.42435377222347
Mayor o juvenil,AMBA,198,5307340.932810999,37.306817577127184,32.29110039713814,42.88085685439103
Mayor o juvenil,Cuyo,20,1740858.0,11.488587811297648,7.017527900267539,17.74319209417115
Mayor o juvenil,NEA,13,2641485.671636832,4.921472843706313,2.62047701614619,8.415868447389121
Mayor o juvenil,NOA,12,3280367.0,3.6581272766126474,1.8902077446585153,6.390012168814331
Mayor o juvenil,Pampeana,233,7833752.20455333,29.743090401119645,26.046338841479436,33.817423184192066
Mayor o juvenil,Patagonia,17,1144460.0,14.854167030739386,8.65309968859313,23.782960362010567
