caso,player_qid,nombre,p19_label,prov_nombre,localidad_nombre,tramo,estrato,birth_year
145,Q66920442,Gastón Comas,Paraná,Entre Ríos,Paraná,100–500k,resto,1998
146,Q6108027,Ricardo Bernay,Libertador San Martín,Entre Ríos,Villa Libertador San Martín,<10k,resto,1986
147,Q15617954,Franco Mazurek,Puerto Rico,Misiones,Puerto Rico,10–50k,resto,1993
148,Q16980149,Agustín Emanuel Pastoriza Cacabelos,Adrogué,Buenos Aires,Almirante Brown,>500k,metropoli,1996
149,Q52740367,Jonathan Farias,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1998
150,Q5896281,Hernán Silva,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1986
151,Q5257145,Denis Caputo,Córdoba,Córdoba,Córdoba,>500k,metropoli,1989
152,Q4118273,Ezequiel Luna,Rosario,Santa Fe,Rosario,>500k,metropoli,1986
153,Q6122847,Sebastián Bértoli,Paraná,Entre Ríos,Paraná,100–500k,resto,1977
154,Q131312238,Rafael Profini,San José de la Esquina,Santa Fe,San José de la Esquina,<10k,resto,2003
155,Q61961488,Franco Lefiñir,Bahía Blanca,Buenos Aires,Bahía Blanca,100–500k,resto,1988
156,Q103838851,Facundo Garcés,Santa Fe,Santa Fe,Santa Fe,>500k,metropoli,1999
157,Q61439195,Cristian Parano,Aguilares,Tucumán,Aguilares,10–50k,resto,1999
158,Q2059054,Nereo Champagne,Salto,Buenos Aires,Salto,10–50k,resto,1985
159,Q20014396,Danilo Sandrigo,Santa Fe,Santa Fe,Santa Fe,>500k,metropoli,1992
160,Q2878019,Roberto Laumann,Bahía Blanca,Buenos Aires,Bahía Blanca,100–500k,resto,1979
161,Q16491967,Diego Alejandro García,La Paz,Entre Ríos,La Paz,10–50k,resto,1986
162,Q62570251,Mauro Cerutti,Mendoza,Mendoza,Mendoza,>500k,metropoli,1994
163,Q5948119,Juan Caracoche,Navarro,Buenos Aires,Navarro,10–50k,resto,1988
164,Q122854925,Francisco Facello,Cosquín,Córdoba,Cosquín,100–500k,resto,2003
165,Q60734319,Nahuel Rodríguez,Ciudadela,Buenos Aires,Tres de Febrero,>500k,metropoli,1996
166,Q28090013,Manuel González,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1991
167,Q63107261,Lautaro Lusnig,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1998
168,Q6757918,Marcos Pirchio,Casilda,Santa Fe,Casilda,10–50k,resto,1986
169,Q5901801,Horacio Anzorena,General Alvear,Mendoza,General Alvear,10–50k,resto,1985
170,Q5110139,Christian Smigiel,Quilmes,Buenos Aires,Quilmes,>500k,metropoli,1977
171,Q6099182,Ramiro Arrú,San José de Metán,Salta,San José de Metán,10–50k,resto,1989
172,Q3675623,Cristian Borruto,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1987
173,Q4714584,Alejandro Kruchowski,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1983
174,Q5883051,Gonzalo Marinelli,José C. Paz,Buenos Aires,Jose C. Paz,>500k,metropoli,1989
175,Q63147024,Franco Calderón,Hermoso Campo,Chaco,Hermoso Campo,<10k,resto,1998
