caso,player_qid,nombre,p19_label,prov_nombre,localidad_nombre,tramo,estrato,birth_year
31,Q33125135,Guido Corteggiano,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1987
32,Q22676592,Ezequiel Montagna,Mar del Plata,Buenos Aires,Mar del Plata,>500k,metropoli,1994
33,Q3822716,Brian Sarmiento,Rosario,Santa Fe,Rosario,>500k,metropoli,1990
34,Q5996679,Marcos Ovejero,La Plata,Buenos Aires,La Plata,>500k,metropoli,1986
35,Q6125385,Sergio Chitero,Paraná,Entre Ríos,Paraná,100–500k,resto,1983
36,Q29638877,Brian Garino,Los Cóndores,Córdoba,Los Cóndores,<10k,resto,1995
37,Q19863023,Lucas Suárez,Río Cuarto,Córdoba,Río Cuarto,100–500k,resto,1995
38,Q3027395,Diego Héctor Garay,San Francisco,Córdoba,San Francisco,50–100k,resto,1975
39,Q108137766,Gabriel Aranda,Ezeiza,Buenos Aires,Ezeiza,>500k,metropoli,2001
40,Q16605659,Maximiliano Flores,San Miguel de Tucumán,Tucumán,San Miguel de Tucumán,>500k,metropoli,1991
41,Q104834452,Ángel Gómez,San Francisco Solano,Buenos Aires,Quilmes,>500k,metropoli,2001
42,Q17308277,Diego Romancikas,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1977
43,Q5796325,César More,San Miguel de Tucumán,Tucumán,San Miguel de Tucumán,>500k,metropoli,1989
44,Q43257193,Emiliano Purita,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1997
45,Q5952856,Juan Vinaccia,La Plata,Buenos Aires,La Plata,>500k,metropoli,1985
46,Q6526010,Leonardo Iorlano,Santa Fe,Santa Fe,Santa Fe,>500k,metropoli,1986
47,Q4267554,Juan Casado,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1980
48,Q109937760,Gonzalo Luján,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,2001
49,Q88891488,Agustín Lagos,La Cañada,Santiago del Estero,La Cañada,<10k,resto,2001
50,Q16215743,Juan Cruz Real,Tandil,Buenos Aires,Tandil,100–500k,resto,1976
51,Q104667010,Joaquín Gho,Lincoln,Buenos Aires,Lincoln,10–50k,resto,2003
52,Q55375313,Daniel Martínez,San Miguel,Buenos Aires,San Miguel,>500k,metropoli,1997
53,Q5888889,Guillermo Roffés,Córdoba,Córdoba,Córdoba,>500k,metropoli,1991
54,Q65553930,Jesús Francisco Calderón,Salta,Salta,Salta,>500k,metropoli,1990
55,Q720572,Leandro Somoza,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1981
56,Q108532936,Franco Zapiola,Magdalena,Buenos Aires,Magdalena,10–50k,resto,2001
57,Q49629170,Juan Manuel Mazzocchi,Baradero,Buenos Aires,Baradero,10–50k,resto,1997
58,Q44724541,Francisco Filippi,Santa Fe,Santa Fe,Santa Fe,>500k,metropoli,1994
59,Q26915347,Germán Márquez,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1976
60,Q1079859,Christian Giménez,Resistencia,Chaco,Resistencia,100–500k,resto,1981
61,Q50223139,Leandro Lencinas,Rivadavia,Mendoza,Rivadavia,10–50k,resto,1995
62,Q5186269,Cristian Tula,Rawson,Chubut,Rawson,10–50k,resto,1978
63,Q123227962,Aaron Anselmino,Bernardo Larroudé,La Pampa,Bernardo Larroude,<10k,resto,2005
64,Q5441039,Federico Neyra,Oberá,Misiones,Oberá,50–100k,resto,1987
65,Q61764047,Lucas Arzamendia,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1999
66,Q18923330,Joaquín Susvielles,Santa Rosa,La Pampa,Santa Rosa,100–500k,resto,1991
67,Q4776872,Antonio Piergüidi,Henderson,Buenos Aires,Henderson,<10k,resto,1985
68,Q17364520,Franco Soldano,Córdoba,Córdoba,Córdoba,>500k,metropoli,1994
69,Q6777816,Martín Palavicini,Rosario,Santa Fe,Rosario,>500k,metropoli,1977
70,Q2895202,Iván Furios,Paraná,Entre Ríos,Paraná,100–500k,resto,1979
71,Q66929490,adolfo hitler buendia,Nelson,Santa Fe,Nelson,<10k,resto,2002
72,Q6509760,Leandro Testa,General Belgrano,Buenos Aires,General Belgrano,10–50k,resto,1976
73,Q50233588,Leonardo Balerdi,Villa Mercedes,San Luis,Villa Mercedes,100–500k,resto,1999
74,Q3840400,Luis Ojeda,Romang,Santa Fe,Romang,<10k,resto,1990
75,Q5771893,Claudio Cenci,San Carlos Centro,Santa Fe,San Carlos Centro,10–50k,resto,1985
76,Q5857571,Federico Crivelli,José Mármol,Buenos Aires,Almirante Brown,>500k,metropoli,1982
77,Q525734,Juan Cruz Gill,Villa María,Córdoba,Villa María,100–500k,resto,1983
78,Q217921,Claudio Yacob,Carcarañá,Santa Fe,Carcarañá,10–50k,resto,1987
79,Q20650499,Bruno Galván,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1994
80,Q5742440,Hernán Garin,Concordia,Entre Ríos,Concordia,100–500k,resto,1983
81,Q25677249,Diego Fabián Torres,Villa Nueva,Córdoba,Villa Nueva,100–500k,resto,1990
82,Q491538,Fabián Caballero,Posadas,Misiones,Posadas,100–500k,resto,1978
83,Q63248404,Enzo Salas,Concordia,Entre Ríos,Concordia,100–500k,resto,2000
84,Q657442,Emanuel Villa,Casilda,Santa Fe,Casilda,10–50k,resto,1982
85,Q5644596,Emanuel García,Tigre,Buenos Aires,Tigre,>500k,metropoli,1990
86,Q5972194,Leandro Barrera,Godoy Cruz,Mendoza,Guaymallén,>500k,metropoli,1991
87,Q55375284,Martín Ojeda,Corrientes,Corrientes,Corrientes,<10k,resto,1997
88,Q10329918,Miguel Ángel Bazán,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1985
