"caso","localidad_encontrada","provincia_encontrada","club_debut_encontrado","fuente_url","encontrado"
"47","Ciudad Autónoma de buenos Aires","Ciudad autonoma de buenos Aires","Velez Sarsfield","https://www.bdfa.com.ar/jugadores-JUAN-ERNESTO-CASADO-587.html","1"
"48","Ciudad autónoma de buenos Aires","Ciudad autónoma de buenos Aires","San Lorenzo de Almagro","https://www.bdfa.com.ar/jugadores-GONZALO-LUJAN-132804.html","1"
"49","La Cañada","Tucumán","Atlético Tucumán","https://www.bdfa.com.ar/jugadores-ALVARO-AGUSTIN-LAGOS-123037.html","1"
"50","Tandil","Buenos Aires","Independiente de Avellaneda","https://www.bdfa.com.ar/jugadores-JUAN-CRUZ-REAL-7268.html","1"
"51","Lincoln","Buenos Aires","Sarmiento","https://www.bdfa.com.ar/jugadores-JOAQUIN-GHO-130815.html","1"
"52","","","","","0"
"53","","Córdoba","Huracán","https://www.bdfa.com.ar/jugadores-GUILLERMO-EZEQUIEL-ROFFES-78589.html<","1"
"54","Salta","Salta","Gimnasia y Tiro de Salta","https://www.bdfa.com.ar/jugadores-JESUS-FRANCISCO-CALDERON-70946.html","1"
"55","Ciudad autónoma de Buenos Aires","Ciudad autónoma de Buenos Aires","Velez Sarsfield","https://www.bdfa.com.ar/jugadores-LEANDRO-DANIEL-SOMOZA-593.html","1"
"56","Magdalena","Buenos Aires","Estudiante","https://www.bdfa.com.ar/jugadores-FRANCO-ZAPIOLA-133498.html","1"
"57","Alsina","Buenos Aires","Villa Dálmine","https://www.bdfa.com.ar/jugadores-JUAN-MANUEL-MAZZOCCHI-76058.html","1"
"58","Santa Fe","Santa Fe","Colón de Santa Fe","http://bdfa.com.ar/jugadores-FRANCISCO-FILIPPI-101993.html","1"
"59","","","","","0"
"60","Resistencia","Chaco","Boca Juniors","https://www.bdfa.com.ar/jugadores-CHRISTIAN-GIMENEZ-116.html","1"
"61","Rivadavia","Mendoza","Godoy Cruz","https://www.bdfa.com.ar/jugadores-LEANDRO-EZEQUIEL-LENCINAS-112821.html","1"
"62","Rawson","Chubut","Ferro Carril Oeste","https://www.bdfa.com.ar/jugadores-CRISTIAN-ALBERTO-TULA-5291.html","1"
"63","Bernardo Larroudé","La Pampa","Boca Juniors","https://www.bdfa.com.ar/jugadores-AARON-ANSELMINO-143978.html","1"
"64","Oberá","Misiones","Olimpia","https://www.bdfa.com.ar/jugadores-FEDERICO-SEBASTIAN-NEYRA-76627.html","1"
"65","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","Cerro Largo","https://www.bdfa.com.ar/jugadores-LUCAS-NAHUEL-ARZAMENDIA-117731.html","1"
"66","Santa Rosa","La Pampa","Alvear General Pico","https://www.bdfa.com.ar/jugadores-JOAQUIN-SUSVIELLES-88061.html","1"
"67","Henderson","Buenos Aires","Gimnasia y Esgrima de La Plata","https://www.bdfa.com.ar/jugadores-ANTONIO-PIERGUIDI-40328.html","1"
"68","Córdoba","Córdoba","Tiro Federal de Morteros","https://www.bdfa.com.ar/jugadores-MAURICIO-FRANCO-SOLDANO-71314.html","1"
"69","Rosario","Santa Fe","Real Santa Cruz","https://www.bdfa.com.ar/jugadores-MARTIN-ADRIAN-PALAVICINI-32404.html","1"
"70","Paraná","Entre Rios","Patronato","https://www.bdfa.com.ar/jugadores-IVAN-ALEJANDRO-FURIOS-195.html","1"
"71","","","","","0"
"72","General Belgrano","Buenos Aires","Estudiantes de La Plata","https://www.bdfa.com.ar/jugadores-LEANDRO-GUIDO-TESTA-266.html","1"
"73","villa mercedes","San Luis","Boca Juniors","https://www.bdfa.com.ar/jugadores-LEONARDO-JULIAN-BALERDI-116566.html","1"
"74","Romang","Santa Fe","Unión de Santa Fe","https://www.bdfa.com.ar/jugadores-LUIS-ALBERTO-OJEDA-55073.html","1"
"75","San Carlos","Santa Fe","Colón de Santa Fe","https://www.bdfa.com.ar/jugadores-CLAUDIO-CENCI-95284.html","1"
"76","Adrogué","Buenos Aires","Temperley","https://www.bdfa.com.ar/jugadores-FEDERICO-JAVIER-CRIVELLI-14670.html","1"
"77","Villa María","Córdoba","Talleres de Córdoba","https://www.bdfa.com.ar/jugadores-JUAN-CRUZ-GILL-29857.html","1"
"78","Carcarañá","Santa Fe","Racing Club","https://www.bdfa.com.ar/jugadores-CLAUDIO-ARIEL-YACOB-51020.html","1"
